Ticker;BuySell;EntryDate;EntryPrice;ExitDate;ExitPrice;Pnl;nContracts;MAE;MFE
DIA;1;24.09.2007 08:59:00;138.345;25.09.2007 11:59:00;137.255;-39.24;36;0;0
DIA;1;27.09.2007 08:59:00;138.945;28.09.2007 11:59:00;138.755;-6.84;36;0;0
DIA;1;11.10.2007 08:59:00;141.405;12.10.2007 12:59:00;140.385;-35.7;35;0;0
DIA;1;18.10.2007 08:59:00;138.635;19.10.2007 11:59:00;138.385;-9;36;0;0
DIA;1;09.11.2007 09:59:00;131.525;12.11.2007 12:59:00;130.485;-38.48;37;0;0
DIA;1;23.11.2007 09:59:00;128.545;26.11.2007 09:59:00;129.975;1.43;1;0;0
DIA;1;23.11.2007 09:59:00;128.545;27.11.2007 10:59:00;128.145;-15.2;38;0;0
DIA;1;21.12.2007 09:59:00;133.235;24.12.2007 12:59:00;134.715;54.76;37;0;0
DIA;1;25.01.2008 09:59:00;124.295;28.01.2008 09:59:00;121.565;-109.2;40;0;0
DIA;1;27.03.2008 09:59:00;124.275;28.03.2008 09:59:00;123.675;-24;40;0;0
DIA;1;28.03.2008 09:59:00;123.685;31.03.2008 11:59:00;122.165;-60.8;40;0;0
DIA;1;02.04.2008 08:59:00;125.915;03.04.2008 11:59:00;125.995;3.12;39;0;0
DIA;1;07.04.2008 08:59:00;126.765;08.04.2008 11:59:00;125.495;-49.53;39;0;0
DIA;1;21.05.2008 08:59:00;127.995;22.05.2008 08:59:00;126.165;-71.37;39;0;0
DIA;1;22.05.2008 08:59:00;126.175;23.05.2008 11:59:00;125.685;-19.11;39;0;0
DIA;1;04.06.2008 08:59:00;123.765;05.06.2008 08:59:00;124.365;24;40;0;0
DIA;1;12.06.2008 08:59:00;121.875;13.06.2008 11:59:00;121.795;-3.28;41;0;0
DIA;1;17.06.2008 08:59:00;123.275;18.06.2008 11:59:00;121.115;-86.4;40;0;0
DIA;1;02.07.2008 08:59:00;114.005;03.07.2008 08:59:00;112.335;-73.48;44;0;0
DIA;1;10.07.2008 08:59:00;111.725;11.07.2008 10:59:00;111.595;-5.85;45;0;0
DIA;1;23.07.2008 08:59:00;116.285;24.07.2008 11:59:00;115.895;-16.77;43;0;0
DIA;1;08.09.2008 08:59:00;115.005;09.09.2008 10:59:00;115.725;31.68;44;0;0
DIA;1;18.09.2008 08:59:00;107.695;19.09.2008 08:59:00;112.405;9.42;2;0;0
DIA;1;17.09.2008 08:59:00;110.355;22.09.2008 11:59:00;112.895;114.3;45;0;0
DIA;1;10.10.2008 08:59:00;84.005;13.10.2008 08:59:00;86.995;14.95;5;0;0
DIA;1;09.10.2008 08:59:00;93.555;13.10.2008 08:59:00;86.995;-347.68;53;0;0
DIA;1;13.10.2008 08:59:00;87.005;14.10.2008 10:59:00;97.085;584.64;58;0;0
DIA;1;16.10.2008 08:59:00;86.315;17.10.2008 09:59:00;88.445;125.67;59;0;0
DIA;1;20.10.2008 08:59:00;89.305;21.10.2008 08:59:00;92.375;171.92;56;0;0
DIA;1;28.10.2008 09:59:00;83.005;29.10.2008 09:59:00;90.495;52.43;7;0;0
DIA;1;28.10.2008 09:59:00;83.005;30.10.2008 10:59:00;91.825;485.1;55;0;0
DIA;1;07.11.2008 09:59:00;88.285;10.11.2008 09:59:00;92.015;7.46;2;0;0
DIA;1;07.11.2008 09:59:00;88.285;11.11.2008 11:59:00;87.995;-15.95;55;0;0
DIA;1;23.12.2008 09:59:00;85.545;24.12.2008 11:59:00;84.195;-81;60;0;0
DIA;1;04.02.2009 09:59:00;80.435;05.02.2009 11:59:00;79.735;-43.4;62;0;0
DIA;1;11.02.2009 09:59:00;79.745;12.02.2009 09:59:00;78.705;-65.52;63;0;0
DIA;1;23.03.2009 09:59:00;74.635;24.03.2009 10:59:00;77.085;169.05;69;0;0
DIA;1;09.04.2009 08:59:00;79.085;13.04.2009 10:59:00;80.225;72.96;64;0;0
DIA;1;15.04.2009 08:59:00;79.555;16.04.2009 09:59:00;80.455;57.6;64;0;0
DIA;1;30.04.2009 08:59:00;82.995;01.05.2009 10:59:00;82.105;-54.29;61;0;0
DIA;1;20.05.2009 08:59:00;84.855;21.05.2009 10:59:00;83.775;-63.72;59;0;0
DIA;1;01.06.2009 08:59:00;86.405;02.06.2009 10:59:00;87.245;48.72;58;0;0
DIA;1;10.06.2009 08:59:00;88.645;11.06.2009 11:59:00;87.865;-43.68;56;0;0
DIA;1;25.06.2009 08:59:00;83.075;26.06.2009 11:59:00;84.555;88.8;60;0;0
DIA;1;15.07.2009 08:59:00;84.505;16.07.2009 10:59:00;86.155;97.35;59;0;0
DIA;1;03.08.2009 08:59:00;92.745;04.08.2009 08:59:00;92.435;-16.74;54;0;0
DIA;1;21.08.2009 08:59:00;93.735;24.08.2009 08:59:00;95.225;78.97;53;0;0
DIA;1;16.09.2009 08:59:00;97.285;17.09.2009 10:59:00;98.195;47.32;52;0;0
DIA;1;23.09.2009 08:59:00;98.465;24.09.2009 11:59:00;97.775;-35.19;51;0;0
DIA;1;30.09.2009 08:59:00;97.655;01.10.2009 10:59:00;96.715;-47.94;51;0;0
DIA;1;29.10.2009 09:59:00;97.955;30.10.2009 11:59:00;99.195;63.24;51;0;0
DIA;1;05.11.2009 09:59:00;98.455;06.11.2009 12:59:00;100.385;98.43;51;0;0
DIA;1;04.01.2010 09:59:00;104.055;05.01.2010 13:59:00;105.575;72.96;48;0;0
DIA;1;25.01.2010 09:59:00;102.635;26.01.2010 11:59:00;101.595;-1.04;1;0;0
DIA;1;22.01.2010 09:59:00;103.515;26.01.2010 11:59:00;101.595;-92.16;48;0;0
DIA;1;29.01.2010 09:59:00;101.165;01.02.2010 12:59:00;101.145;-0.02;1;0;0
DIA;1;28.01.2010 09:59:00;102.655;01.02.2010 12:59:00;101.145;-73.99;49;0;0
DIA;1;09.02.2010 09:59:00;99.815;10.02.2010 12:59:00;100.675;43;50;0;0
DIA;1;21.04.2010 08:59:00;110.995;22.04.2010 09:59:00;110.765;-10.35;45;0;0
DIA;1;30.04.2010 08:59:00;111.765;03.05.2010 11:59:00;110.505;-56.7;45;0;0
DIA;1;10.05.2010 08:59:00;107.505;11.05.2010 10:59:00;106.925;-26.68;46;0;0
DIA;1;13.05.2010 08:59:00;109.035;14.05.2010 10:59:00;107.635;-63;45;0;0
DIA;1;27.05.2010 08:59:00;101.385;28.05.2010 08:59:00;102.695;1.31;1;0;0
DIA;1;26.05.2010 08:59:00;101.005;01.06.2010 08:59:00;100.415;-28.91;49;0;0
DIA;1;04.06.2010 08:59:00;102.645;07.06.2010 09:59:00;99.615;-3.03;1;0;0
DIA;1;03.06.2010 08:59:00;103.095;07.06.2010 09:59:00;99.615;-167.04;48;0;0
DIA;1;21.06.2010 08:59:00;105.655;22.06.2010 10:59:00;104.285;-65.76;48;0;0
DIA;1;22.07.2010 08:59:00;102.145;23.07.2010 08:59:00;103.675;74.97;49;0;0
DIA;1;02.08.2010 08:59:00;105.795;03.08.2010 09:59:00;106.595;38.4;48;0;0
DIA;1;13.08.2010 08:59:00;103.135;16.08.2010 10:59:00;102.925;-10.08;48;0;0
DIA;1;01.10.2010 08:59:00;108.105;04.10.2010 11:59:00;108.165;2.76;46;0;0
DIA;1;06.10.2010 08:59:00;109.755;07.10.2010 09:59:00;109.725;-1.35;45;0;0
DIA;1;18.11.2010 09:59:00;111.435;19.11.2010 10:59:00;111.785;15.75;45;0;0
DIA;1;10.12.2010 09:59:00;114.095;13.12.2010 12:59:00;114.645;23.65;43;0;0
DIA;1;21.12.2010 09:59:00;115.035;22.12.2010 12:59:00;115.285;10.75;43;0;0
DIA;1;29.12.2010 09:59:00;115.615;30.12.2010 12:59:00;115.585;-1.29;43;0;0
DIA;1;16.02.2011 09:59:00;122.575;17.02.2011 12:59:00;122.765;7.6;40;0;0
DIA;1;17.03.2011 09:59:00;116.975;18.03.2011 11:59:00;118.305;55.86;42;0;0
DIA;1;11.05.2011 08:59:00;127.615;12.05.2011 08:59:00;125.545;-80.73;39;0;0
DIA;1;18.05.2011 08:59:00;125.005;19.05.2011 09:59:00;126.045;41.6;40;0;0
DIA;1;10.06.2011 08:59:00;120.745;13.06.2011 09:59:00;119.725;-41.82;41;0;0
DIA;1;24.06.2011 08:59:00;120.905;27.06.2011 11:59:00;119.395;-61.91;41;0;0
DIA;1;30.06.2011 08:59:00;122.865;01.07.2011 08:59:00;124.005;45.6;40;0;0
DIA;1;14.07.2011 08:59:00;124.515;15.07.2011 10:59:00;124.435;-3.2;40;0;0
DIA;1;20.07.2011 08:59:00;125.705;21.07.2011 08:59:00;125.255;-18;40;0;0
DIA;1;28.07.2011 08:59:00;122.965;29.07.2011 09:59:00;121.875;-43.6;40;0;0
DIA;1;11.08.2011 08:59:00;109.355;12.08.2011 08:59:00;111.085;77.85;45;0;0
DIA;1;12.08.2011 08:59:00;111.095;15.08.2011 08:59:00;113.385;2.29;1;0;0
DIA;1;12.08.2011 08:59:00;111.095;16.08.2011 08:59:00;113.245;94.6;44;0;0
DIA;1;22.08.2011 08:59:00;109.155;23.08.2011 08:59:00;109.795;29.44;46;0;0
DIA;1;26.08.2011 08:59:00;111.485;29.08.2011 08:59:00;113.745;101.7;45;0;0
DIA;1;31.08.2011 08:59:00;115.725;01.09.2011 11:59:00;115.765;1.72;43;0;0
DIA;1;07.09.2011 08:59:00;112.505;08.09.2011 09:59:00;114.995;112.05;45;0;0
DIA;1;15.09.2011 08:59:00;113.155;16.09.2011 11:59:00;113.945;34.76;44;0;0
DIA;1;20.09.2011 08:59:00;114.255;21.09.2011 11:59:00;114.045;-9.24;44;0;0
DIA;1;27.09.2011 08:59:00;111.555;28.09.2011 11:59:00;112.405;38.25;45;0;0
